stock name,price,board,volume,date,time,Period End 1,Revenue 1,P&L 1,EPS 1,Period End 2,Revenue 2,P&L 2,EPS 2,Period End 3,Revenue 3,P&L 3,EPS 3,Period End 4,Revenue 4,P&L 4,EPS 4,Financial Date,Sales,Ebitda,Ebit,Net Profit,Intangibles,Fixed Asset,Long Term Investment,Inventories,Cash,Current Liabilites,Long_debt,Provisions,Minorities,Total Shareholder Equity,Operating Margin,Return on Equity Capital,Net Profit Margin,Current Ratio,Debt to Capital at book 
EASTERN & ORIENTAL BHD,0.855,Main,"62,626",06 Mar 2019,7:11 PM,31 Dec 2018,"256,952","1,037",-0.67,30 Sep 2018,"179,388","20,188",1.44,30 Jun 2018,"199,995","15,457",1.09,31 Mar 2018,"280,050","38,848",2.91,31 Mar 2018,"982,706",-,-,"97,136",181,"243,404","133,992","911,114","521,568","624,262","1,254,096",398,0,"1,874,107",25.86,-,9.88,2.92,-
EKSONS CORPORATION BHD,0.790,Main,150,06 Mar 2019,7:11 PM,31 Dec 2018,"10,527","-13,329",-6.56,30 Sep 2018,"32,871","1,960",1.41,30 Jun 2018,"21,385","4,044",2.66,31 Mar 2018,"38,778","-6,233",-3.80,31 Mar 2018,"149,303",-,-,"-19,395","4,735","72,791","8,194","157,446","154,750","26,908","10,567",0,0,"477,227",-11.14,-,-12.99,15.39,-
ELK-DESA RESOURCES BERHAD,1.370,Main,"1,857",06 Mar 2019,7:11 PM,31 Dec 2018,"31,114","7,713",2.61,30 Sep 2018,"30,995","8,620",2.94,30 Jun 2018,"28,822","8,071",2.80,31 Mar 2018,"27,696","7,910",2.77,31 Mar 2018,"104,127",-,-,"25,924",0,"7,240",0,"8,451","15,595","42,230","29,436",0,0,"396,398",36.26,-,24.9,4.21,-
EKOVEST BHD,0.575,Main,"74,403",06 Mar 2019,7:11 PM,31 Dec 2018,"361,181","41,191",2.05,30 Sep 2018,"304,885","40,914",2.05,30 Jun 2018,"302,681","-8,687",0.06,31 Mar 2018,"220,516","15,666",0.87,30 Jun 2018,"1,051,907",-,-,"114,249","3,828,941","70,248",0,"384,138","759,209","1,026,491","6,004,459","3,827",0,"2,361,532",29.81,-,10.86,4.76,-
ELSOFT RESEARCH BHD,1.020,Main,"15,963",06 Mar 2019,7:11 PM,31 Dec 2018,"13,049","6,167",0.93,30 Sep 2018,"24,459","13,649",2.06,30 Jun 2018,"24,152","12,011",4.35,31 Mar 2018,"16,490","8,089",2.94,31 Dec 2017,"64,348",-,-,"29,835",0,"15,934","19,155","3,365","12,501","11,293",0,0,0,"107,416",47.07,-,46.37,7.2,-
EONMETALL GROUP BHD,0.385,Main,"1,968",06 Mar 2019,7:11 PM,31 Dec 2018,"25,681","-5,983",-3.22,30 Sep 2018,"35,266","5,084",2.74,30 Jun 2018,"27,106",875,0.57,31 Mar 2018,"27,736","2,936",1.56,31 Dec 2017,"131,907",-,-,"18,702",0,"103,185",1,"74,538","13,702","97,699","5,096",0,0,"185,778",18.21,-,14.18,1.58,-
ECO WORLD DEVELOPMENT GROUP BERHAD,0.950,Main,"5,083",06 Mar 2019,7:11 PM,31 Oct 2018,"607,581","68,530",2.33,31 Jul 2018,"490,049","38,521",1.31,30 Apr 2018,"498,686","34,453",1.17,31 Jan 2018,"563,591","24,088",0.82,31 Oct 2017,"2,924,665","346,427","321,300","209,650",0,"227,942","1,151,335","2,456,282","433,824","3,242,385","2,202,608",0,0,"4,264,034",12.05,5.21,7.17,1.22,0.35
ENG KAH CORPORATION BHD,0.990,Main,45,06 Mar 2019,7:11 PM,31 Dec 2018,"16,793",-381,-0.54,30 Sep 2018,"12,964","6,519",9.21,30 Jun 2018,"13,871",303,0.43,31 Mar 2018,"14,193",229,0.32,31 Dec 2017,"56,786","2,997","1,531","1,386",0,"23,086","5,099","22,101","9,619","12,082",0,0,0,"69,154",4.34,2,2.44,4.56,0.01
ENRA GROUP BERHAD,1.550,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"33,678","-1,000",-0.86,30 Sep 2018,"36,162",-687,-0.36,30 Jun 2018,"66,847","2,887",1.62,31 Mar 2018,"13,587","-2,114",-1.61,31 Mar 2018,"84,809",-,-,"1,021","8,505","4,531",0,"73,594","41,798","118,029","2,700",0,0,"165,736",6.7,-,1.2,2.33,-
EMICO HOLDINGS BHD,0.175,Main,1,06 Mar 2019,7:11 PM,31 Dec 2018,"12,722",-491,-0.48,30 Jun 2018,"12,069",-751,-0.75,31 Mar 2018,"18,771",207,0.31,31 Dec 2017,"13,895",-228,-0.21,31 Mar 2018,"58,454",-,-,-219,552,"24,895",0,"41,373","2,728","25,357",844,0,0,"51,099",1.71,-,-0.37,2.29,-
EP MANUFACTURING BHD,0.400,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"123,724","-6,026",-3.79,30 Sep 2018,"126,184","-2,485",-1.56,30 Jun 2018,"101,554","-3,703",-2.33,31 Mar 2018,"121,140",319,0.20,31 Dec 2017,"472,241",-,-,"-29,942","89,258","401,009","1,015","53,985","18,027","315,543","73,893",0,0,"290,049",-0.76,-,-6.34,0.61,-
ENGTEX GROUP BHD,0.780,Main,484,06 Mar 2019,7:11 PM,31 Dec 2018,"308,496","-7,166",-1.59,30 Sep 2018,"315,171","3,172",0.68,30 Jun 2018,"286,138","6,209",1.43,31 Mar 2018,"298,199","10,001",2.25,31 Dec 2017,"1,107,867",-,-,"53,866",0,"404,170",0,"476,957","111,804","609,500","106,280",0,0,"695,558",9.55,-,4.86,1.61,-
ES CERAMICS TECHNOLOGY BHD,0.150,Ace,0,06 Mar 2019,7:11 PM,30 Nov 2018,"7,417",46,0.02,31 May 2018,"5,902",-649,-0.32,28 Feb 2018,"6,768",71,0.03,30 Nov 2017,"6,291",256,0.10,31 May 2018,"25,186",-,-,234,"1,141","18,670",0,"3,628","22,744","4,418",0,36,0,"48,871",0.95,-,0.93,7.6,-
EWEIN BERHAD,0.625,Main,"18,217",06 Mar 2019,7:11 PM,31 Dec 2018,"44,180","6,864",2.01,30 Sep 2018,"60,559","13,153",4.07,30 Jun 2018,"43,046","13,069",3.86,31 Mar 2018,"56,455","16,164",4.00,31 Dec 2017,"98,986",-,-,"9,074",0,"15,004",182,"108,956","77,705","103,693","46,328",0,0,"211,606",22.76,-,9.17,2.9,-
EVERGREEN FIBREBOARD BHD,0.370,Main,"7,465",06 Mar 2019,7:11 PM,31 Dec 2018,"279,095","-9,357",-0.95,30 Sep 2018,"288,529","5,743",0.63,30 Jun 2018,"289,915","12,119",1.41,31 Mar 2018,"264,178","7,488",0.80,31 Dec 2017,"1,024,137",-,-,"44,972","52,990","1,045,251",0,"227,257","120,874","242,686","122,944","10,534",0,"1,168,823",7.21,-,4.39,1.98,-
FACB INDUSTRIES INCORPORATED,1.300,Main,10,06 Mar 2019,7:11 PM,31 Dec 2018,"9,838","1,454",1.29,30 Sep 2018,"9,170",658,0.84,30 Jun 2018,"9,811","-2,283",-2.93,31 Dec 2017,"10,147",-961,-1.62,30 Jun 2018,"48,651",-,-,"-2,792",124,"3,600","62,433","5,602","154,400","6,140",0,0,0,"230,978",2.16,-,-5.74,27.87,-
EUPE CORPORATION BHD,0.635,Main,"2,032",06 Mar 2019,7:11 PM,30 Nov 2018,"94,348","10,242",3.46,31 Aug 2018,"97,509","19,125",6.27,31 May 2018,"76,472","10,423",3.16,28 Feb 2018,"91,435","6,761",1.62,28 Feb 2018,"314,084",-,-,"9,592",0,"68,813",7,"175,622","42,536","161,812","92,146",0,0,"313,540",10.25,-,3.05,1.92,-
FAR EAST HOLDINGS BHD,2.800,Main,60,06 Mar 2019,7:11 PM,31 Dec 2018,"88,139","4,919",2.99,30 Sep 2018,"85,559","18,970",9.13,30 Jun 2018,"96,117","17,146",7.44,31 Mar 2018,"109,264","26,054",15.95,31 Dec 2017,"482,732","185,646","174,628","125,639",0,"853,646","440,958","11,987","141,815","48,738",0,0,0,"1,350,734",39.45,9.12,26.03,5.03,0
FAJARBARU BUILDER GRP BHD,0.400,Main,"14,015",06 Mar 2019,7:11 PM,31 Dec 2018,"62,479","7,455",1.01,30 Sep 2018,"105,086","7,355",1.27,30 Jun 2018,"58,864","2,939",0.50,31 Mar 2018,"98,577","11,498",1.51,30 Jun 2018,"395,629",-,-,"17,463",221,"43,541","13,128","135,128","40,696","181,531","29,210",0,0,"313,824",15.61,-,4.41,2.27,-
EUROSPAN HOLDINGS BHD,0.440,Main,0,06 Mar 2019,7:11 PM,30 Nov 2018,"11,518","-1,280",-2.88,31 Aug 2018,"14,823",-415,-0.93,31 May 2018,"15,689",-521,-1.17,28 Feb 2018,"14,969",-564,-1.27,31 May 2018,"60,241",-,-,"-1,383",0,"21,480","7,373","11,793","6,925","8,921",0,"1,475",0,"46,776",-2.67,-,-2.3,3.22,-
FRASER & NEAVE HOLDINGS BHD,35.080,Main,"4,888",06 Mar 2019,7:11 PM,31 Dec 2018,"1,010,272","122,853",33.50,30 Sep 2018,"996,640","81,230",22.20,30 Jun 2018,"1,029,747","104,485",28.50,31 Mar 2018,"1,014,542","92,556",25.30,30 Sep 2018,"4,109,859",-,-,"385,133","122,289","1,281,679","173,346","497,165","537,092","848,742","115,153","40,176",0,"2,312,471",10.66,-,9.37,1.94,-
FARLIM GROUP (M) BHD,0.375,Main,480,06 Mar 2019,7:11 PM,31 Dec 2018,"3,446",-823,-0.53,30 Sep 2018,130,"-1,340",-0.90,30 Jun 2018,"5,003","2,642",1.89,31 Mar 2018,"1,554","-1,222",-0.85,31 Dec 2017,"26,554","9,723","8,882","7,827","2,970","5,335","12,032","13,320","3,611","12,308",0,0,0,"173,771",40.74,4.57,29.48,9.17,0
FAVELLE FAVCO BHD,2.790,Main,450,06 Mar 2019,7:11 PM,31 Dec 2018,"173,850","24,557",9.56,30 Sep 2018,"164,554","31,694",13.59,30 Jun 2018,"89,843","6,780",3.28,31 Mar 2018,"102,247","6,357",2.49,31 Dec 2017,"526,484",-,-,"63,097",203,"241,827","14,746","156,455","372,128","549,254",0,0,0,"628,228",16.2,-,11.98,1.67,-
EURO HOLDINGS BHD,0.140,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"26,620","-2,031",-0.78,30 Sep 2018,"25,956",5,-0.01,30 Jun 2018,"25,274",-154,-0.05,31 Mar 2018,"22,183","-1,957",-0.73,31 Dec 2017,"63,517",-,-,"-3,600",0,"48,509",0,"97,863","5,667","78,328","18,738",0,0,"75,752",1.2,-,-5.67,1.59,-
FCW HOLDINGS BHD,1.050,Main,645,06 Mar 2019,7:11 PM,31 Dec 2018,"6,741",888,0.36,30 Sep 2018,"6,879","1,413",0.57,30 Jun 2018,"8,187","1,209",0.48,31 Dec 2017,"8,185","1,763",0.71,30 Jun 2018,"31,868",-,-,"-1,013","1,726","4,561","22,249","4,177","115,388","7,442",309,0,0,"168,892",0.8,-,-3.18,16.93,-
FGV HOLDINGS BERHAD,1.200,Main,"302,526",06 Mar 2019,7:11 PM,31 Dec 2018,"3,233,917","-237,922",-5.70,30 Sep 2018,"3,193,304","-913,801",-23.30,30 Jun 2018,"3,437,324","1,131",-0.64,31 Mar 2018,"3,602,716","8,469",0.04,31 Dec 2017,"16,939,704",-,-,"143,727","1,536,568","10,469,846","1,117,735","2,126,893","1,693,318","5,756,585","733,234","120,493",0,"7,860,443",3.13,-,0.85,1.11,-
FIBON BERHAD,0.415,Main,940,06 Mar 2019,7:11 PM,30 Nov 2018,"3,674",722,0.74,31 Aug 2018,"3,916",685,0.70,31 May 2018,"3,622","1,045",1.07,28 Feb 2018,"3,240",-362,-0.37,31 May 2018,"14,624",-,-,"2,931",877,"12,943",0,"1,511","27,914","1,394",0,0,0,"46,841",25.17,-,20.04,24.78,-
FIAMMA HOLDINGS BHD,0.520,Main,380,06 Mar 2019,7:11 PM,31 Dec 2018,"80,147","8,381",1.47,30 Sep 2018,"106,904","13,466",2.43,30 Jun 2018,"82,815","8,445",1.57,31 Dec 2017,"73,411","7,264",1.28,30 Sep 2017,"315,607","41,513","36,625","22,508",500,"103,681",0,"331,405","78,938","148,668","97,534",0,0,"466,964",12.2,4.9,7.13,3.48,0.25
FITTERS DIVERSIFIED BHD,0.525,Main,"176,061",06 Mar 2019,7:11 PM,31 Dec 2018,"100,373","7,151",1.64,30 Sep 2018,"98,537","4,666",1.12,30 Jun 2018,"74,433","1,692",0.40,31 Mar 2018,"77,390",650,0.31,31 Dec 2017,"303,404",-,-,-424,"5,684","244,189","2,321","135,186","20,534","139,801","63,894",0,0,"347,155",2.49,-,-0.14,1.91,-
FIMA CORPORATION BHD,1.930,Main,10,06 Mar 2019,7:11 PM,31 Dec 2018,"53,349","14,787",5.46,30 Sep 2018,"70,368","36,050",12.53,30 Jun 2018,"51,241","6,820",2.60,31 Mar 2018,"74,341","6,994",2.37,31 Mar 2018,"284,646",-,-,"36,110",510,"161,178","40,845","38,857","165,596","52,320",0,"1,813",0,"565,286",22.28,-,12.69,7.05,-
FINTEC GLOBAL BERHAD,0.050,Ace,"2,758",06 Mar 2019,7:11 PM,31 Dec 2018,"5,477","-7,265",-1.38,30 Sep 2018,"8,890","12,257",2.30,30 Jun 2018,437,"-31,565",-5.53,31 Mar 2018,"9,759","-36,477",-7.54,31 Mar 2018,"30,888",-,-,"43,439",0,"3,155","124,469",321,"63,105","18,580",0,0,0,"183,734",141.37,-,140.63,4.02,-
FOCUS LUMBER BERHAD,1.700,Main,"11,176",06 Mar 2019,7:11 PM,31 Dec 2018,"54,643","7,403",7.12,30 Sep 2018,"63,053","11,214",10.86,30 Jun 2018,"55,752","9,614",9.32,31 Dec 2017,"61,630","1,832",1.78,31 Dec 2017,"176,000",-,-,"11,722",0,"29,435",149,"19,700","34,310","9,529",0,0,0,"171,486",8.38,-,6.66,15.85,-
FOCUS DYNAMICS GROUP BERHAD,0.140,Ace,"51,571",06 Mar 2019,7:11 PM,31 Dec 2018,"4,207","-2,988",-0.11,30 Sep 2018,"6,039","-1,753",-0.06,30 Jun 2018,"6,271",-874,-0.02,31 Mar 2018,"7,545","1,112",0.02,31 Dec 2017,"31,684",-,-,"3,303",88,"13,871",0,"3,186","10,382","12,227",0,0,0,"31,471",17.18,-,10.42,2.44,-
FOCUS POINT HOLDINGS BERHAD,0.440,Ace,"19,639",06 Mar 2019,7:11 PM,31 Dec 2018,"50,213","4,454",2.70,30 Sep 2018,"46,146","1,819",1.10,30 Jun 2018,"41,934",803,0.49,31 Mar 2018,"40,979",23,0.01,31 Dec 2017,"165,121","13,053","4,367",-458,0,"48,530",895,"45,098","9,900","59,918","9,448",0,0,"52,344",2.8,-0.87,-0.28,1.33,0.33
FRONTKEN CORPORATION BHD,0.975,Main,"379,956",06 Mar 2019,7:11 PM,31 Dec 2018,"88,665","20,010",1.78,30 Sep 2018,"85,857","16,532",1.45,30 Jun 2018,"81,780","13,278",1.15,31 Mar 2018,"70,916","7,182",0.60,31 Dec 2017,"296,580",-,-,"29,858","33,761","150,046","1,963","13,475","125,806","109,057","11,547",0,0,"305,973",15.87,-,10.07,2.22,-
FSBM HOLDINGS BHD,0.095,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,32,17,0.00,30 Sep 2018,32,-113,-0.08,30 Jun 2018,597,-156,-0.11,31 Mar 2018,418,-295,-0.21,30 Jun 2017,"2,415","-3,035","-3,069","-3,243",0,26,185,0,34,"5,403",0,0,0,"6,229",-133.79,-55.21,-134.29,2.11,0
G3 GLOBAL BERHAD,0.790,Main,335,06 Mar 2019,7:11 PM,31 Dec 2018,"7,919","-7,794",-1.89,30 Sep 2018,"4,129","-3,746",-0.91,30 Jun 2018,"12,931","-1,609",-0.39,31 Mar 2018,"4,390","-3,975",-0.96,31 Dec 2017,"31,038",-,-,"-12,799","3,334","1,900",0,"11,496","39,805","17,473",0,0,0,"67,841",-40.78,-,-41.24,4.58,-
FOUNDPAC GROUP BERHAD,0.325,Main,"208,251",06 Mar 2019,7:11 PM,31 Dec 2018,"11,046","2,940",0.53,30 Sep 2018,"10,252","2,605",0.47,30 Jun 2018,"9,197","1,831",0.32,30 Jun 2018,"9,197","1,831",0.32,30 Jun 2018,"35,534",-,-,"7,527","12,646","17,005",0,"2,949","33,144","2,899",0,0,0,"72,439",30.1,-,21.18,16.43,-
GADANG HOLDINGS BHD,0.620,Main,"42,180",06 Mar 2019,7:11 PM,30 Nov 2018,"168,515","16,962",2.57,31 Aug 2018,"129,149","16,538",2.50,31 May 2018,"182,007","23,301",3.53,28 Feb 2018,"152,680","25,029",3.82,31 May 2018,"596,294",-,-,"96,909","17,101","73,783","1,581","904,087","277,927","493,492","201,342","2,507",0,"709,208",22.52,-,16.25,2.82,-
GAMUDA BHD,2.990,Main,"38,800",06 Mar 2019,7:11 PM,31 Oct 2018,"903,882","186,447",6.97,31 Jul 2018,"1,214,812","-90,162",-4.10,30 Apr 2018,"1,237,668","212,729",8.16,31 Jan 2018,"1,002,757","224,015",8.60,31 Jul 2018,"4,227,060",-,-,"513,883","1,423,098","1,009,191","2,776,823","2,667,746","1,238,634","3,773,155","4,249,964","299,922",0,"7,951,526",16.04,-,12.16,1.97,-
FORMOSA PROSONIC INDUSTRIES,1.840,Main,"6,997",06 Mar 2019,7:11 PM,31 Dec 2018,"148,983","6,289",2.50,30 Sep 2018,"192,033","16,614",6.70,30 Jun 2018,"122,226","7,101",2.90,31 Mar 2018,"97,278","6,628",2.70,31 Dec 2017,"462,621",-,-,"41,170",0,"101,401","17,035","39,189","149,288","107,847",0,0,0,"286,688",10.39,-,8.9,2.59,-
GABUNGAN AQRS BERHAD,1.160,Main,"6,558",06 Mar 2019,7:11 PM,31 Dec 2018,"108,515","12,421",2.34,30 Sep 2018,"159,271","17,550",3.64,30 Jun 2018,"187,192","19,194",4.16,30 Jun 2018,"187,192","19,194",4.16,31 Dec 2017,"469,468","106,186","90,768","48,034","29,783","32,255","3,765","224,773","136,391","622,753","28,114",0,0,"475,149",19.98,11.63,10.23,1.59,0.17
GAS MALAYSIA BERHAD,2.830,Main,292,06 Mar 2019,7:11 PM,31 Dec 2018,"1,738,527","51,078",3.98,31 Dec 2018,"1,738,527","51,078",3.98,30 Sep 2018,"1,556,281","41,028",3.20,30 Jun 2018,"1,503,186","48,074",3.74,31 Dec 2017,"5,348,821","314,934","243,680","194,638",0,"1,230,951","47,453",0,"218,198","890,129","208,970",0,0,"1,050,343",4.75,18.8,3.64,1.15,0.09
GRAND CENTRAL ENTERPRISES BHD,0.460,Main,30,06 Mar 2019,7:11 PM,31 Dec 2018,"6,221",-387,-0.22,30 Sep 2018,"6,496",-856,-0.44,30 Jun 2018,"5,768","-1,714",-0.87,31 Mar 2018,"4,690","-2,370",-1.20,31 Dec 2017,"25,894",-674,"-7,311","-4,354",0,"185,976",0,383,"62,986","4,581",0,0,0,"232,311",-19.14,-1.84,-16.81,14.75,0
GD EXPRESS CARRIER BHD,0.350,Main,"38,914",06 Mar 2019,7:11 PM,31 Dec 2018,"82,809","10,686",0.19,30 Sep 2018,"74,509","6,472",0.12,30 Jun 2018,"74,360","6,522",0.12,31 Mar 2018,"73,402","2,622",0.05,30 Jun 2018,"292,989",-,-,"23,627",397,"85,850","37,564","1,079","286,277","37,042",0,326,0,"449,681",15.86,-,8.06,10.16,-
GENETEC TECHNOLOGY BERHAD,1.820,Ace,"2,178",06 Mar 2019,7:11 PM,31 Dec 2018,"34,519","5,018",12.42,30 Sep 2018,"19,495",802,1.71,30 Jun 2018,"28,790","3,849",9.32,31 Dec 2017,"27,467","3,621",7.67,31 Mar 2018,"101,282",-,-,"3,661","15,560","36,285",0,"14,663","16,119","27,908","10,018",0,0,"77,456",6.37,-,3.61,2.36,-
GENTING MALAYSIA BERHAD,3.420,Main,"28,348",06 Mar 2019,7:11 PM,31 Dec 2018,"2,507,040","705,388",12.74,30 Sep 2018,"2,598,943","-1,512,073",-26.41,30 Jun 2018,"2,422,126","378,266",6.99,31 Mar 2018,"2,399,498","342,066",6.33,31 Dec 2017,"9,328,700","2,188,800","1,225,100","1,159,700","4,654,500","13,835,400","145,000","111,500","5,996,600","3,252,000","6,590,800","207,800",0,"19,141,800",15.36,5.96,12.43,2.17,0.23
FREIGHT MANAGEMENT HLDGS BHD,0.565,Main,"1,040",06 Mar 2019,7:11 PM,31 Dec 2018,"137,832","4,230",1.41,30 Sep 2018,"136,206","6,277",3.10,30 Jun 2018,"129,899","4,225",2.24,31 Dec 2017,"132,027","5,886",3.15,30 Jun 2018,"511,585",-,-,"19,695","1,629","243,033","15,421",0,"42,345","80,068","47,861","1,089",0,"293,722",6.26,-,3.85,2.43,-
GENTING BHD,7.150,Main,"25,261",06 Mar 2019,7:11 PM,31 Dec 2018,"5,397,445","1,234,309",17.01,30 Sep 2018,"5,381,457","-731,405",-7.18,30 Jun 2018,"4,823,315","823,524",10.01,31 Mar 2018,"5,250,756","1,117,441",15.74,31 Dec 2017,"20,019,600","7,802,800","5,272,200","1,701,800","10,152,900","36,228,800","4,178,500","611,600","29,491,900","8,330,700","24,232,500","512,000",0,"57,108,900",26.14,2.79,8.5,4.17,0.29
GE-SHEN CORPORATION BHD,0.650,Main,711,06 Mar 2019,7:11 PM,31 Dec 2018,"43,176",-105,-0.68,31 Dec 2018,"43,176",-105,-0.68,30 Sep 2018,"50,788",920,1.01,30 Jun 2018,"52,209","2,749",3.25,31 Dec 2017,"228,389","31,527","22,036","10,556","31,195","90,530","4,817","25,121","13,186","76,112","32,506",0,0,"102,599",8.5,10.92,4.62,1.25,0.29
GENTING PLANTATIONS BERHAD,10.440,Main,513,06 Mar 2019,7:11 PM,31 Dec 2018,"482,338","10,262",1.78,30 Sep 2018,"488,838","17,514",2.93,30 Jun 2018,"402,649","24,825",3.25,31 Dec 2017,"528,417","111,913",14.83,31 Dec 2017,"1,804,250","653,376","473,785","337,710","673,242","4,392,549","215,515","264,061","1,221,674","1,009,028","2,559,068","14,292",0,"4,569,471",29.69,7.42,18.72,2.73,0.38
GETS GLOBAL BERHAD,0.125,Main,141,06 Mar 2019,7:11 PM,31 Dec 2018,"6,952","-1,431",-1.07,30 Sep 2018,"6,474","-1,817",-1.29,30 Jun 2018,"8,356","-1,339",-0.52,31 Mar 2018,"8,027",-78,-0.40,30 Jun 2018,"37,495",-,-,"-12,592",0,"71,242",0,"14,194",635,"43,678","2,567",0,0,"47,075",-29.58,-,-33.58,0.53,-
GFM SERVICES BERHAD,0.500,Ace,"14,770",06 Mar 2019,7:11 PM,31 Dec 2018,"33,802","1,692",0.38,30 Sep 2018,"28,193","2,262",0.52,30 Jun 2018,"29,180",845,0.20,31 Dec 2017,"29,439","3,582",0.84,31 Dec 2017,"104,369",-,-,"9,943","28,066","17,208",521,0,"28,302","18,853","12,631",0,0,"64,911",15,-,9.53,3.03,-
GHL SYSTEMS BHD,1.660,Main,162,06 Mar 2019,7:11 PM,31 Dec 2018,"80,470","7,118",0.96,30 Sep 2018,"87,424","6,322",0.86,30 Jun 2018,"67,724","5,273",0.72,31 Mar 2018,"59,751","5,871",0.89,31 Dec 2017,"253,681",-,-,"20,451","107,559","64,810","8,181","63,524","107,500","132,909","15,513",0,0,"274,324",10.77,-,8.06,1.84,-
GOLDEN LAND BERHAD,0.385,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"3,391","-4,044",-1.83,30 Sep 2018,145,"-3,499",-1.46,30 Jun 2018,646,"-14,240",-4.60,31 Dec 2017,"1,250","4,952",2.61,30 Jun 2018,"5,736",-,-,"-14,951","27,440","62,077",0,"93,065","105,675","26,945",0,432,0,"448,426",-343.58,-,-260.65,8.41,-
GLOBALTEC FORMATION BERHAD,0.470,Main,"4,585",06 Mar 2019,7:11 PM,31 Dec 2018,"60,673","1,944",0.99,30 Sep 2018,"54,643",571,0.02,30 Jun 2018,"41,639",-191,-0.01,31 Dec 2017,"59,942","-37,471",-0.37,30 Jun 2018,"205,068",-,-,"-20,356","28,381","209,177","3,534","26,486","55,389","44,146","9,018",0,0,"309,214",-18.08,-,-9.93,2.87,-
G NEPTUNE BERHAD,0.050,Ace,"1,916",06 Mar 2019,7:11 PM,31 Dec 2018,0,-208,-0.07,30 Sep 2018,0,-394,-0.14,30 Jun 2018,0,-239,-0.08,31 Mar 2018,0,126,0.04,30 Jun 2018,0,-,-,-521,0,0,0,0,10,"3,106",0,0,0,"-3,051",-,-,-,0.02,-
GROMUTUAL BHD,0.280,Main,500,06 Mar 2019,7:11 PM,31 Dec 2018,"12,283",-102,-0.03,30 Sep 2018,"12,826","2,426",0.65,30 Sep 2018,"12,826","2,426",0.65,30 Jun 2018,"16,821","3,026",0.81,31 Dec 2017,"65,850",-,-,"19,860",0,"4,944",0,"92,010","35,747","71,889","13,599",0,0,"345,492",39.97,-,30.16,2.01,-
GLOMAC BHD,0.380,Main,"1,106",06 Mar 2019,7:11 PM,31 Oct 2018,"55,764",852,0.13,31 Jul 2018,"57,606","1,215",0.13,30 Apr 2018,"92,163","25,520",2.92,31 Jan 2018,"105,134","3,390",0.54,30 Apr 2018,"405,927",-,-,"31,293",395,"50,830","34,753","206,033","176,074","481,398","300,327",0,0,"1,132,391",19.49,-,7.71,1.36,-
GLOBAL ORIENTAL BERHAD,0.180,Main,"2,596",06 Mar 2019,7:11 PM,31 Dec 2018,"41,925","-19,982",-4.35,30 Sep 2018,"34,409","-9,495",-2.05,30 Jun 2018,"27,855","-8,645",-1.86,31 Mar 2018,"36,859","-69,422",-14.84,31 Mar 2018,"94,990",-,-,"-93,433","23,587","5,813",0,"371,019","95,640","418,503","133,291",0,0,"372,613",-78.35,-,-98.36,2,-
GREEN OCEAN CORPORATION BERHAD,0.095,Ace,0,06 Mar 2019,7:11 PM,31 Dec 2018,"122,359",592,0.20,30 Sep 2018,"79,423",801,0.28,30 Jun 2018,"70,278",829,0.29,31 Mar 2018,"10,055","-5,479",-2.01,31 Mar 2018,"154,672",-,-,"-7,511",0,"19,900",0,"10,074","2,499","17,008",0,0,0,"20,067",-4.62,-,-4.86,1.06,-
GOODWAY INTEGRATED INDUSTRIES,0.205,Main,"1,205",06 Mar 2019,7:11 PM,31 Dec 2018,"13,321","-4,764",-4.28,30 Sep 2018,"20,704",-107,-0.09,30 Sep 2018,"20,704,338","-107,331",-0.09,30 Jun 2018,"45,830",746,0.68,30 Jun 2018,"198,555",-,-,"2,134",0,"70,716",0,"15,098","5,118","80,156","24,594",0,0,"44,596",3,-,1.07,1,-
GPA HOLDINGS BHD,0.085,Main,500,06 Mar 2019,7:11 PM,31 Dec 2018,"9,458",424,0.04,30 Sep 2018,"11,639",112,0.01,30 Jun 2018,"12,074",211,0.01,31 Mar 2018,"14,030",-405,-0.02,31 Mar 2018,"67,406",-,-,"-1,281",0,"31,354",0,"6,124","52,184","13,105",0,0,0,"112,333",-1.7,-,-1.9,6.28,-
GOLDEN PHAROS BHD,0.220,Main,0,06 Mar 2019,7:11 PM,31 Dec 2018,"21,593",-270,-0.20,30 Sep 2018,"18,844",427,0.32,30 Jun 2018,"17,786",-653,-0.48,31 Mar 2018,"15,894","1,010",0.74,31 Dec 2017,"65,643",-,-,516,0,"52,687","4,632","7,565","11,413","26,508",0,"8,906",0,"74,425",1.09,-,0.79,1.51,-
GUAN CHONG BHD,3.710,Main,"3,521",06 Mar 2019,7:11 PM,31 Dec 2018,"651,292","63,021",13.19,30 Sep 2018,"598,781","43,871",9.18,30 Jun 2018,"491,584","43,030",9.01,31 Mar 2018,"519,689","39,332",8.23,31 Dec 2017,"2,147,914",-,-,"91,045","11,956","373,034","18,353","862,189","39,924","1,049,358","17,464","1,653",0,"479,593",6.36,-,4.24,1.1,-
