070322|A50CHIN-C22|0.275|0.290|0.310|+0.035|+12.73|35,452
070324|A50CHIN-C24|0.830|0.890|0.915|+0.085|+10.24|500
070326|A50CHIN-C26|0.505|0.000|0.000|0.000|0.00|0
070328|A50CHIN-C28|0.285|0.290|0.295|+0.010|+3.51|9,757
070330|A50CHIN-C30|0.390|0.405|0.420|+0.030|+7.69|184,348
070332|A50CHIN-C32|0.810|0.830|0.940|+0.130|+16.05|123
070334|A50CHIN-C34|0.915|0.000|0.000|0.000|0.00|0
070336|A50CHIN-C36|0.590|0.605|0.610|+0.020|+3.39|15,019
070321|A50CHIN-H21|0.050|0.000|0.000|0.000|0.00|0
070323|A50CHIN-H23|0.005|0.000|0.000|0.000|0.00|0
070325|A50CHIN-H25|0.035|0.000|0.000|0.000|0.00|0
070327|A50CHIN-H27|0.075|0.075|0.065|-0.010|-13.33|39,193
7054|AASIA|0.145|0.000|0.000|0.000|0.00|0
5238|AAX|0.255|0.255|0.250|-0.005|-1.96|74,981
523820|AAX-C20|0.005|0.000|0.000|0.000|0.00|0
523821|AAX-C21|0.005|0.000|0.000|0.000|0.00|0
5238WA|AAX-WA|0.055|0.055|0.055|0.000|0.00|17,724
0800EA|ABFMY1|1.167|0.000|0.000|0.000|0.00|0
7086|ABLEGRP|0.070|0.000|0.000|0.000|0.00|0
2488|ABMB|4.200|4.150|4.200|0.000|0.00|7,500
2488CY|ABMB-CY|0.100|0.000|0.000|0.000|0.00|0
7131|ACME|0.230|0.000|0.000|0.000|0.00|0
7120|ACOSTEC|0.430|0.435|0.440|+0.010|+2.33|19,560
5281|ADVCON|0.340|0.350|0.345|+0.005|+1.47|8,270
7191|ADVENTA|0.370|0.370|0.360|-0.010|-2.70|222
9148|ADVPKG|1.900|0.000|0.000|0.000|0.00|0
7146|AEM|0.120|0.000|0.000|0.000|0.00|0
7146WA|AEM-WA|0.005|0.000|0.000|0.000|0.00|0
0181|AEMULUS|0.245|0.245|0.250|+0.005|+2.04|18,022
6599|AEON|1.600|1.600|1.620|+0.020|+1.25|9,141
6599CO|AEON-CO|0.055|0.055|0.060|+0.005|+9.09|1,814
6599CP|AEON-CP|0.050|0.000|0.000|0.000|0.00|0
6599CQ|AEON-CQ|0.030|0.000|0.000|0.000|0.00|0
5139|AEONCR|16.700|17.000|16.800|+0.100|+0.60|2,744
5139LA|AEONCR-LA|1.500|0.000|0.000|0.000|0.00|0
